City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
309,Port Lincoln,AU,-34.7333,135.8667,58.69,69,100,4.27,overcast clouds
310,Santa Rosalia,MX,27.3167,-112.2833,85.37,22,98,6.22,overcast clouds
311,Beloha,MG,-25.1667,45.05,64.67,85,0,5.84,clear sky
312,Nantucket,US,41.2835,-70.0995,81.61,64,1,14.97,clear sky
313,Champerico,GT,14.3,-91.9167,93.74,67,95,7.85,overcast clouds
314,Neuquen,AR,-38.9516,-68.0591,66.09,37,0,23.02,clear sky
315,Kiama,AU,-34.6833,150.8667,53.38,73,27,5.99,scattered clouds
316,Tura,IN,25.5198,90.2201,73.54,91,100,3.76,overcast clouds
317,Gold Coast,AU,-28.0,153.4333,55.04,91,0,6.2,clear sky
318,Tucurui,BR,-3.7661,-49.6725,88.93,55,7,3.44,clear sky
319,Ribeira Grande,PT,38.5167,-28.7,64.8,52,20,10.36,few clouds
320,Vidalia,US,32.2177,-82.4135,93.87,35,40,11.5,scattered clouds
321,Nevelsk,RU,46.6733,141.8633,41.43,90,100,6.8,overcast clouds
322,Puerto Carreno,CO,6.189,-67.4859,82.0,76,87,12.93,overcast clouds
323,Villazon,BO,-22.0866,-65.5942,59.2,25,100,3.89,overcast clouds
324,Hofn,IS,64.2539,-15.2082,43.32,73,99,10.45,overcast clouds
325,Mount Isa,AU,-20.7333,139.5,58.77,33,0,11.5,clear sky
326,Bayeux,BR,-7.125,-34.9322,81.23,78,40,14.97,scattered clouds
327,Bambanglipuro,ID,-7.95,110.2833,65.61,90,14,4.7,few clouds
328,Newport,GB,51.5877,-2.9984,60.91,79,100,7.36,overcast clouds
329,Port-Gentil,GA,-0.7193,8.7815,79.02,83,100,14.09,overcast clouds
330,Hambantota,LK,6.1241,81.1185,79.14,100,75,23.0,broken clouds
331,Erenhot,CN,43.6475,111.9767,48.31,51,5,9.19,clear sky
332,Tessalit,ML,20.1986,1.0114,98.85,4,100,10.36,overcast clouds
333,Sumenep,ID,-7.0167,113.8667,80.33,86,14,9.53,few clouds
334,Cherskiy,RU,68.75,161.3,54.59,26,75,11.72,broken clouds
335,Baiao,BR,-2.7906,-49.6717,92.21,42,90,3.38,overcast clouds
336,Jalu,LY,29.0331,21.5482,88.86,14,47,9.26,scattered clouds
337,Pochutla,MX,15.7432,-96.4661,91.81,42,98,8.59,overcast clouds
338,Belaya Gora,RU,68.5333,146.4167,53.51,55,0,6.71,clear sky
339,Vila,PT,42.0304,-8.1588,64.74,54,100,2.55,overcast clouds
340,Wakkanai,JP,45.4094,141.6739,44.2,93,100,19.48,heavy intensity rain
341,Chenghai,CN,23.4632,116.768,82.31,83,20,4.47,few clouds
342,Arlit,NE,18.7369,7.3853,95.63,7,95,11.34,overcast clouds
343,San Isidro,PE,-12.1167,-77.05,71.02,87,90,10.04,overcast clouds
344,Banting,MY,2.8167,101.5,77.13,95,100,2.75,overcast clouds
345,Sandpoint,US,48.2766,-116.5533,73.62,42,75,3.0,broken clouds
346,Alice Town,BS,25.7167,-79.3,77.76,67,100,6.91,overcast clouds
347,Beipiao,CN,41.7919,120.7792,51.8,84,100,18.14,overcast clouds
