City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
138,Sitka,US,2021-05-23 18:16:21,57.0531,-135.33,48.09,76,90,3.44
139,Tasiilaq,GL,2021-05-23 18:16:21,65.6145,-37.6368,32.16,97,100,4.92
140,Yertsevo,RU,2021-05-23 18:16:21,60.7966,40.086,55.94,85,98,6.33
141,Brae,GB,2021-05-23 18:16:22,60.3964,-1.353,48.11,62,100,9.17
142,Harper,LR,2021-05-23 18:16:22,4.375,-7.7169,82.71,76,40,7.07
143,Victoria,HK,2021-05-23 18:12:04,22.2855,114.1577,87.33,82,71,5.99
144,Chama,CH,2021-05-23 18:16:23,47.1821,8.4636,60.98,73,47,2.48
145,Tottori,JP,2021-05-23 18:16:23,35.5,134.2333,64.22,70,99,7.18
146,Tual,ID,2021-05-23 18:16:23,-5.6667,132.75,81.82,82,100,24.4
147,Kieta,PG,2021-05-23 18:16:24,-6.2167,155.6333,79.16,81,100,2.66
148,Hithadhoo,MV,2021-05-23 18:16:24,-0.6,73.0833,84.31,72,80,10.02
149,Cockburn Town,TC,2021-05-23 18:16:24,21.4612,-71.1419,82.36,65,40,16.11
150,Saint-Francois,FR,2021-05-23 18:16:25,46.4154,3.9054,62.67,55,0,2.3
151,Mugur-Aksy,RU,2021-05-23 18:16:25,50.35,90.5,40.86,72,15,6.02
152,Kahului,US,2021-05-23 18:12:55,20.8947,-156.47,76.84,79,40,4.61
153,Mapua,NZ,2021-05-23 18:16:26,-41.25,173.1,51.19,86,38,5.3
154,Yaan,NG,2021-05-23 18:16:26,7.3833,8.5667,82.0,67,51,5.55
155,Bathsheba,BB,2021-05-23 18:16:26,13.2167,-59.5167,88.41,70,40,19.26
156,Petropavlovsk-Kamchatskiy,RU,2021-05-23 18:16:27,53.0452,158.6483,39.79,85,100,1.43
157,Pisco,PE,2021-05-23 18:16:27,-13.7,-76.2167,68.05,77,0,10.36
158,Banda Aceh,ID,2021-05-23 18:16:27,5.5577,95.3222,81.52,79,99,8.84
159,Hasaki,JP,2021-05-23 18:16:28,35.7333,140.8333,59.29,86,96,4.16
160,Kamina,CD,2021-05-23 18:16:28,-8.7386,24.9906,64.71,54,0,3.67
161,Touros,BR,2021-05-23 18:16:28,-5.1989,-35.4608,85.1,68,41,16.42
162,San Patricio,US,2021-05-23 18:16:29,28.017,-97.5169,85.05,67,50,10.11
163,Anchorage,US,2021-05-23 18:15:05,61.2181,-149.9003,54.68,55,1,1.01
164,Mount Isa,AU,2021-05-23 18:16:29,-20.7333,139.5,55.17,62,1,0.0
165,Bethel,US,2021-05-23 18:16:30,41.3712,-73.414,86.92,55,75,3.0
166,Aykhal,RU,2021-05-23 18:16:30,66.0,111.5,34.18,72,82,7.25
167,Carutapera,BR,2021-05-23 18:16:30,-1.195,-46.02,85.01,69,38,8.19
168,College,US,2021-05-23 18:14:26,64.8569,-147.8028,48.15,67,75,0.0
169,Lebu,CL,2021-05-23 18:16:31,-37.6167,-73.65,55.45,69,49,6.11
170,Uray,RU,2021-05-23 18:16:31,60.1247,64.7758,61.2,49,67,9.46
171,Fairbanks,US,2021-05-23 18:15:29,64.8378,-147.7164,48.16,72,1,3.44
172,Eureka,US,2021-05-23 18:16:32,40.8021,-124.1637,68.67,70,40,5.01
173,Doha,QA,2021-05-23 18:16:32,25.2867,51.5333,95.31,40,0,4.61
174,Ribeira Grande,PT,2021-05-23 18:16:33,38.5167,-28.7,66.6,55,20,16.11
175,Cilegon,ID,2021-05-23 18:16:33,-6.0174,106.0538,82.29,83,18,3.74
176,Sisimiut,GL,2021-05-23 18:16:33,66.9395,-53.6735,38.55,47,91,8.61
177,Kenai,US,2021-05-23 18:16:34,60.5544,-151.2583,53.69,54,1,3.44
178,San Quintin,MX,2021-05-23 18:16:34,30.4833,-115.95,66.38,49,0,10.98
179,Maniitsoq,GL,2021-05-23 18:16:34,65.4167,-52.9,34.63,75,100,23.6
180,Souillac,MU,2021-05-23 18:16:35,-20.5167,57.5167,73.78,83,40,11.14
181,Vardo,NO,2021-05-23 18:16:35,70.3705,31.1107,37.15,64,0,8.05
182,Chokurdakh,RU,2021-05-23 18:16:35,70.6333,147.9167,29.86,98,100,4.56
183,Bredasdorp,ZA,2021-05-23 18:16:36,-34.5322,20.0403,52.92,57,30,4.54
184,Kondinskoye,RU,2021-05-23 18:16:36,59.6481,67.41,59.94,51,95,9.19
185,Lorengau,PG,2021-05-23 18:16:37,-2.0226,147.2712,81.01,78,100,5.41
186,Mitsamiouli,KM,2021-05-23 18:16:37,-11.3847,43.2844,79.09,66,30,10.94
187,West Plains,US,2021-05-23 18:14:21,36.7281,-91.8524,84.22,53,20,5.37
188,Coroata,BR,2021-05-23 18:16:37,-4.13,-44.1242,91.18,46,49,4.72
189,Bestobe,KZ,2021-05-23 18:16:38,52.4994,73.0975,74.57,36,72,11.7
190,Ulaangom,MN,2021-05-23 18:16:38,49.9811,92.0667,52.5,56,1,1.52
191,Fare,PF,2021-05-23 18:16:39,-16.7,-151.0167,81.27,71,26,13.35
192,Port Elizabeth,ZA,2021-05-23 18:16:39,-33.918,25.5701,53.89,71,0,2.3
193,Remedios,CU,2021-05-23 18:16:39,22.4947,-79.5458,83.32,51,68,16.71
194,Cabatuan,PH,2021-05-23 18:16:40,10.8794,122.486,77.27,85,0,3.22
195,Pangnirtung,CA,2021-05-23 18:16:40,66.1451,-65.7125,26.6,63,75,10.36
196,Nome,US,2021-05-23 18:16:40,64.5011,-165.4064,34.16,86,90,6.91
197,Boromo,BF,2021-05-23 18:16:41,11.75,-2.9333,100.36,24,62,6.71
198,Jiaohe,CN,2021-05-23 18:16:41,43.7286,127.3447,46.15,97,80,5.48
199,Eyl,SO,2021-05-23 18:16:41,7.9803,49.8164,82.22,67,45,22.48
200,Perbaungan,ID,2021-05-23 18:16:42,3.5679,98.956,78.91,88,81,4.16
201,Hoa Binh,VN,2021-05-23 18:16:42,20.8133,105.3383,84.09,95,95,3.67
202,Mahibadhoo,MV,2021-05-23 18:16:43,3.7833,72.9667,84.4,74,97,14.79
203,Tautira,PF,2021-05-23 18:16:43,-17.7333,-149.15,80.62,75,49,10.6
204,Axim,GH,2021-05-23 18:16:43,4.8699,-2.2405,81.99,79,83,8.43
205,Sobolevo,RU,2021-05-23 18:16:44,54.4299,31.8996,50.04,92,37,7.11
206,Emerald,AU,2021-05-23 18:16:44,-23.5333,148.1667,58.23,86,1,6.62
207,Chongwe,ZM,2021-05-23 18:16:44,-15.3292,28.682,60.48,68,3,7.7
208,Vila Franca Do Campo,PT,2021-05-23 18:16:45,37.7167,-25.4333,63.01,63,30,4.52
209,Kununurra,AU,2021-05-23 18:16:45,-15.7667,128.7333,66.18,94,5,0.0
210,Thinadhoo,MV,2021-05-23 18:16:45,0.5333,72.9333,84.33,72,100,12.21
211,Tucurui,BR,2021-05-23 18:16:46,-3.7661,-49.6725,90.37,55,78,3.31
212,Samarai,PG,2021-05-23 18:16:46,-10.6167,150.6667,77.99,81,95,16.96
213,Saint George,US,2021-05-23 18:15:09,37.1041,-113.5841,72.07,22,1,1.01
214,Irbeyskoye,RU,2021-05-23 18:16:47,55.6428,95.4522,46.45,93,100,6.4
215,Meulaboh,ID,2021-05-23 18:16:47,4.1363,96.1285,78.17,88,92,3.65
216,Saint Anthony,US,2021-05-23 18:16:47,45.0205,-93.218,80.29,87,40,8.93
217,Uyuni,BO,2021-05-23 18:16:48,-20.4597,-66.825,51.42,10,7,16.84
218,Maumere,ID,2021-05-23 18:16:48,-8.6199,122.2111,77.59,83,22,5.57
219,Suntar,RU,2021-05-23 18:16:49,62.1444,117.6319,38.88,64,21,4.05
220,Slave Lake,CA,2021-05-23 18:16:49,55.2834,-114.769,66.18,34,1,6.91
221,Cabo San Lucas,MX,2021-05-23 18:14:46,22.8909,-109.9124,90.81,50,1,5.75
222,Fallon,US,2021-05-23 18:16:50,39.4735,-118.7774,57.42,93,75,10.36
223,Lapithos,CY,2021-05-23 18:16:50,35.3375,33.1792,73.69,72,3,16.6
224,Saldanha,ZA,2021-05-23 18:16:50,-33.0117,17.9442,65.14,46,28,9.62
225,Port Macquarie,AU,2021-05-23 18:11:57,-31.4333,152.9167,53.56,82,91,4.0
226,Novovelichkovskaya,RU,2021-05-23 18:16:51,45.2778,38.8436,66.11,88,76,7.36
